frame,timestamp,lat,lon
0,2020-07-03 02:41:54.349000,13.54347193033,144.91268643461999
1,2020-07-03 02:41:54.382322,13.54347523487274,144.91269004605834
2,2020-07-03 02:41:54.415656,13.54347854060552,144.91269365879728
3,2020-07-03 02:41:54.448978,13.54348184514826,144.91269727023564
4,2020-07-03 02:41:54.482311,13.54348515078187,144.91270088286618
5,2020-07-03 02:41:54.515644,13.54348845641548,144.9127044954967
6,2020-07-03 02:41:54.548967,13.543491761057389,144.91270810704344
7,2020-07-03 02:41:54.582289,13.54349506560013,144.9127117184818
8,2020-07-03 02:41:54.615622,13.54349837123374,144.91271533111234
9,2020-07-03 02:41:54.648944,13.54350167577648,144.9127189425507
10,2020-07-03 02:41:54.682278,13.54350498150926,144.91272255528963
11,2020-07-03 02:41:54.715600,13.543508286051999,144.912726166728
12,2020-07-03 02:41:54.748933,13.54351159168561,144.91272977935853
13,2020-07-03 02:41:54.782256,13.543514896327519,144.91273339090526
14,2020-07-03 02:41:54.815589,13.54351820196113,144.91273700353582
15,2020-07-03 02:41:54.848911,13.54352150650387,144.91274061497418
16,2020-07-03 02:41:54.882233,13.543524811046609,144.91274422641254
17,2020-07-03 02:41:54.915567,13.54352811677939,144.91274783915145
18,2020-07-03 02:41:54.948889,13.543531421322129,144.9127514505898
19,2020-07-03 02:41:54.982222,13.54353472695574,144.91275506322035
20,2020-07-03 02:41:55.015544,13.54353824538392,144.91275859616152
21,2020-07-03 02:41:55.048867,13.54354200855031,144.9127620394271
22,2020-07-03 02:41:55.082200,13.543545772845999,144.912765483726
23,2020-07-03 02:41:55.115522,13.543549535899459,144.91276892688825
24,2020-07-03 02:41:55.148844,13.543553298952919,144.9127723700505
25,2020-07-03 02:41:55.182178,13.54355706336154,144.91277581445274
26,2020-07-03 02:41:55.215500,13.543560826415,144.912779257615
27,2020-07-03 02:41:55.248822,13.54356458946846,144.91278270077726
28,2020-07-03 02:41:55.282156,13.54356835387708,144.91278614517947
29,2020-07-03 02:41:55.315478,13.54357211693054,144.91278958834172
30,2020-07-03 02:41:55.348800,13.543575879984,144.91279303150398
31,2020-07-03 02:41:55.382133,13.543579644279689,144.91279647580288
32,2020-07-03 02:41:55.415456,13.543583407446079,144.91279991906848
33,2020-07-03 02:41:55.448778,13.543587170499539,144.91280336223073
34,2020-07-03 02:41:55.482100,13.543590933553,144.912806805393
35,2020-07-03 02:41:55.515433,13.54359469784869,144.9128102496919
36,2020-07-03 02:41:55.548756,13.54359846101508,144.91281369295749
37,2020-07-03 02:41:55.582078,13.54360222406854,144.91281713611974
38,2020-07-03 02:41:55.615411,13.543605988364229,144.9128205804186
39,2020-07-03 02:41:55.648733,13.543609751417689,144.9128240235809
40,2020-07-03 02:41:55.682056,13.543613514584079,144.91282746684647
41,2020-07-03 02:41:55.715389,13.54361727887977,144.91283091114536
42,2020-07-03 02:41:55.748711,13.54362104193323,144.91283435430762
43,2020-07-03 02:41:55.782044,13.54362480622892,144.91283779860652
44,2020-07-03 02:41:55.815367,13.54362856939531,144.91284124187212
45,2020-07-03 02:41:55.848689,13.54363233244877,144.91284468503437
46,2020-07-03 02:41:55.882011,13.54363609550223,144.91284812819663
47,2020-07-03 02:41:55.915344,13.543639859797919,144.91285157249553
48,2020-07-03 02:41:55.948667,13.543643622964309,144.9128550157611
49,2020-07-03 02:41:55.981989,13.543647386017769,144.91285845892335
50,2020-07-03 02:41:56.015311,13.54365118153055,144.91286162112877
51,2020-07-03 02:41:56.048633,13.54365501522665,144.91286445283234
52,2020-07-03 02:41:56.081956,13.543658849037799,144.9128672846209
53,2020-07-03 02:41:56.115278,13.543662682733899,144.91287011632443
54,2020-07-03 02:41:56.148600,13.54366651643,144.912872948028
55,2020-07-03 02:41:56.181922,13.5436703501261,144.91287577973156
56,2020-07-03 02:41:56.215244,13.5436741838222,144.9128786114351
57,2020-07-03 02:41:56.248567,13.543678017633349,144.91288144322365
58,2020-07-03 02:41:56.281844,13.5436818461522,144.9128842711031
59,2020-07-03 02:41:56.315178,13.543685681228899,144.91288710382645
60,2020-07-03 02:41:56.348456,13.5436895098628,144.9128899317909
61,2020-07-03 02:41:56.381789,13.54369334482445,144.91289276442922
62,2020-07-03 02:41:56.415122,13.543697179786099,144.91289559706757
63,2020-07-03 02:41:56.448456,13.5437010148628,144.91289842979089
64,2020-07-03 02:41:56.481778,13.5437048485589,144.91290126149445
65,2020-07-03 02:41:56.515100,13.543708682255,144.912904093198
66,2020-07-03 02:41:56.548422,13.5437125159511,144.91290692490156
67,2020-07-03 02:41:56.581744,13.5437163496472,144.91290975660513
68,2020-07-03 02:41:56.615067,13.54372018345835,144.91291258839368
69,2020-07-03 02:41:56.648389,13.54372401715445,144.91291542009722
70,2020-07-03 02:41:56.681722,13.543727852116099,144.91291825273558
71,2020-07-03 02:41:56.715044,13.5437316858122,144.91292108443912
72,2020-07-03 02:41:56.748389,13.54373552215445,144.91292391809722
73,2020-07-03 02:41:56.781722,13.543739357116099,144.91292675073558
74,2020-07-03 02:41:56.815067,13.543743193458349,144.91292958439368
75,2020-07-03 02:41:56.848400,13.543747028419999,144.912932417032
76,2020-07-03 02:41:56.881733,13.54375086338165,144.91293524967037
77,2020-07-03 02:41:56.915067,13.543754698458349,144.91293808239368
78,2020-07-03 02:41:56.948400,13.54375853342,144.912940915032
79,2020-07-03 02:41:56.981733,13.54376236838165,144.91294374767037
80,2020-07-03 02:41:57.015067,13.5437661559973,144.91294660751427
81,2020-07-03 02:41:57.048400,13.54376988596,144.91294950015202
