annotation,lon,lat,elevation
l1,144.7824079,13.41288306,129.35137939453122
l2,144.78281246,13.4128103,127.26019287109376
l3,144.78324812,13.41285734,131.73541259765622
l4,144.78367112,13.41295092,134.789306640625
l5,144.78392817,13.41327648,135.74761962890622
fh,144.78396593,13.41377756,129.53985595703122
cb,144.78399662,13.41397281,132.80291748046878
cb1,144.78420173,13.41395908,133.7496337890625
cb2,144.78438959,13.41392321,131.15179443359378
ll,144.7844004,13.41433524,122.89617919921876
